sensor_index,name,model,latitude,longitude,altitude,date_created,in_manhattan
222475,115 York St,PA-II-FLEX,40.70172,-73.986206,30,1713823681,0
145962,PortSide Test,PA-II-SD,40.680958,-74.01284,8,1648579055,0
152862,Red Hook Initiative,PA-II-SD,40.67681,-74.00462,14,1657141226,0
182235,Dikeman St,PA-II-FLEX,40.67525,-74.01091,10,1685140940,0
165783,Red Hook Farms - Columbia Street Farm 1,PA-II-FLEX,40.67223,-74.01005,7,1664909296,0
182243,Windsor Pl and 10th Ave,PA-II-FLEX,40.6583,-73.97814,155,1685140991,0
81785,RGBIV,PA-II,40.695778,-73.99408,95,1602710925,0
144554,Adelphi Street Roof,PA-II,40.694927,-73.97224,55,1644965426,0
175901,Columbiaia St &amp; Congress St,PA-II,40.689377,-74.00056,15,1678210687,0
182073,B.reathing Q.uantities of E.xhaust,PA-II-FLEX,40.685577,-74.00039,24,1684957545,0
185729,Cobble Hill Court St,PA-II-FLEX,40.68523,-73.99494,45,1687880124,0
198733,Kiddie Science Lab,PA-II,40.659718,-73.9532,68,1697052146,0
182105,Prospect Park South,PA-II-FLEX,40.655033,-73.95631,58,1684958045,0
186425,Coco,PA-II,40.688675,-73.974724,64,1688150095,0
178413,Devoe House,PA-II-FLEX,40.7131,-73.95079,29,1680641765,0
202009,NBNPA-2023-2,PA-II-FLEX,40.735252,-73.95772,24,1699887263,0
202003,NBNPA-2023-10,PA-II-FLEX,40.723373,-73.9458,26,1699887255,0
202015,Nbn 3,PA-II-FLEX,40.73305,-73.95822,18,1699887274,0
147661,Driggs 285,PA-II,40.72222,-73.9496,18,1652985784,0
101523,87 Rich (3rd),PA-II,40.71871,-73.947815,16,1616013536,0
49363,Greenpoint Ave &amp; Franklin St,PA-II,40.73014,-73.95654,30,1582839481,0
190459,Air2-D2,PA-II,40.75508,-73.933716,45,1690838108,0
87557,11105,PA-II,40.77808,-73.91492,52,1604084709,0
92169,FA-CTKo,PA-II,40.837517,-73.91544,101,1606238714,0
172111,Bronx Center for Science and Mathematics - outdoor,PA-II-FLEX,40.833763,-73.902565,75,1669748750,0
92171,FreshAir-O1,PA-II,40.860455,-73.88581,86,1606238722,0
90269,FA-O4,PA-II,40.858074,-73.88898,87,1605561082,0
174933,Moshulu Pkwy S - The Bronx,PA-II-FLEX,40.879787,-73.88633,140,1676913129,0
188617,Spuyten Duyvil: Arlington at 227,PA-II-FLEX,40.8811,-73.91456,210,1689710220,0
186091,Englewood,PA-II-FLEX,40.9008,-73.966644,122,1687986627,0
175987,Englewood,PA-II-FLEX,40.890877,-73.96668,157,1678219931,0
28285,Southwest Hoboken,PA-II,40.736893,-74.04125,4,1552002225,0
189061,TCS,PA-II-FLEX,40.772564,-73.951385,57,1689963468,1
144714,PHB,PA-II-SD,40.785732,-73.97315,100,1646433156,1
188661,WE ACT Community Sensor #4,PA-II-SD,40.795002,-73.942764,18,1689714217,1
178471,The Bean,PA-II-FLEX,40.717663,-74.00592,37,1680643462,1
174545,White St. &amp; The Alley,PA-II-FLEX,40.717777,-74.002625,25,1675800380,1
175215,PM - Chung Pak 13th Floor Rooftop,PA-II-SD,40.71723,-73.99993,19,1677264059,1
169657,MottAir01 Chinatown,PA-II-FLEX,40.716137,-73.99831,33,1667857555,1
101639,LESBreathe5,PA-II,40.713753,-73.977585,18,1616082846,1
221707,LESBreathe1test,PA-II-SD,40.72118,-73.97943,21,1713366417,1
182081,9th Outdoor,PA-II-FLEX,40.72449,-73.977135,15,1684957789,1
101561,LESBreathe3,PA-II,40.72624,-73.976364,14,1616013781,1
204699,Broome and Broadway,PA-II-FLEX,40.72178,-73.99995,31,1701967457,1
189249,Washington Square Village,PA-II-FLEX,40.728977,-73.997604,36,1689981006,1
180219,Peanut's Doghouse,PA-II-FLEX,40.738525,-73.982864,27,1682956895,1
29183,Hells Kitchen,PA-II,40.763924,-73.98655,72,1553019203,1
101655,Midtown-West,PA-II,40.7643,-73.98364,73,1616176126,1
178729,happi asthma,PA-II-SD,40.78983,-73.95283,64,1681153034,1
91415,FA-O6,PA-II,40.792587,-73.947495,18,1605893042,1
188659,WE ACT Community Sensor #3,PA-II-SD,40.80789,-73.93768,22,1689714216,1
188641,WE ACT Community Sensor #7,PA-II-SD,40.808475,-73.943535,33,1689714206,1
152894,CUNY ASRC Roof,PA-II-SD,40.815487,-73.95053,124,1657141515,1
188657,WE ACT Community Sensor #10,PA-II-SD,40.816654,-73.94736,34,1689714215,1
188651,WE ACT Community Sensor #6,PA-II-SD,40.82193,-73.95565,89,1689714213,1
188695,WE ACT Community Sensor #8,PA-II-SD,40.823833,-73.953476,106,1689714368,1
188669,WE ACT Community Sensor #1,PA-II-SD,40.823437,-73.9399,32,1689714222,1
178411,WE ACT for Environmental Justice Office,PA-II-SD,40.829655,-73.94472,134,1680641494,1
188667,WE ACT Community Sensor #2,PA-II-SD,40.83612,-73.947296,62,1689714221,1
188673,WE ACT Community Sensor #9,PA-II-SD,40.847836,-73.93894,203,1689714348,1
188665,WE ACT Community Sensor #5 (WHEELS),PA-II-SD,40.849163,-73.93135,178,1689714220,1
183603,Hudson View Gardens,PA-II-FLEX,40.853676,-73.938484,257,1686169501,1
