model,wind_direction_encoder,timestamp_encoder,cascade_rmse,non_cascade_rmse
linear_regression,WindDirectionOneHotEncoder,None,1.33385E+11,1.33401E+11
linear_regression,WindDirectionOneHotEncoder,TimestampEncoder,1.05363E+11,1.0547E+11
linear_regression,WindDirectionTwoDimensionalEncoder,None,37716434240,43007244861
linear_regression,WindDirectionTwoDimensionalEncoder,TimestampEncoder,7594960943,14464873819
decision_tree,WindDirectionOneHotEncoder,None,24.0246486,23.45875095
decision_tree,WindDirectionOneHotEncoder,TimestampEncoder,31.14345694,30.43204324
decision_tree,WindDirectionTwoDimensionalEncoder,None,25.61514637,24.77793102
decision_tree,WindDirectionTwoDimensionalEncoder,TimestampEncoder,29.30358998,28.91145277
random_forest_small,WindDirectionOneHotEncoder,None,29.34004275,30.17764188
random_forest_small,WindDirectionOneHotEncoder,TimestampEncoder,35.79917924,35.45442319
random_forest_small,WindDirectionTwoDimensionalEncoder,None,29.22845571,30.0199237
random_forest_small,WindDirectionTwoDimensionalEncoder,TimestampEncoder,35.48714548,35.14772397
random_forest_complex,WindDirectionOneHotEncoder,None,18.02180752,17.88881536
random_forest_complex,WindDirectionOneHotEncoder,TimestampEncoder,23.27627129,23.15053775
random_forest_complex,WindDirectionTwoDimensionalEncoder,None,18.10956866,17.97626414
random_forest_complex,WindDirectionTwoDimensionalEncoder,TimestampEncoder,22.77827832,22.82435479
